Date,Open,High,Low,Close,Volume
1994-03-01,600.5580444335938,600.5580444335938,600.5580444335938,600.5580444335938,0
1994-03-02,594.2260131835938,594.2260131835938,594.2260131835938,594.2260131835938,0
1994-03-03,591.0592041015625,591.0592041015625,591.0592041015625,591.0592041015625,0
1994-03-04,594.2260131835938,594.2260131835938,594.2260131835938,594.2260131835938,0
1994-03-07,594.2260131835938,594.2260131835938,594.2260131835938,594.2260131835938,0
1994-03-08,595.2809448242188,595.2809448242188,595.2809448242188,595.2809448242188,0
1994-03-09,587.8924560546875,587.8924560546875,587.8924560546875,587.8924560546875,0
1994-03-10,587.8924560546875,587.8924560546875,587.8924560546875,587.8924560546875,0
1994-03-11,582.615478515625,582.615478515625,582.615478515625,582.615478515625,0
1994-03-14,588.9475708007812,588.9475708007812,588.9475708007812,588.9475708007812,0
1994-03-15,596.3361206054688,596.3361206054688,596.3361206054688,596.3361206054688,0
1994-03-16,599.502685546875,599.502685546875,599.502685546875,599.502685546875,0
1994-03-17,602.6696166992188,602.6696166992188,602.6696166992188,602.6696166992188,0
1994-03-18,605.8349609375,605.8349609375,605.8349609375,605.8349609375,0
1994-03-21,614.2797241210938,614.2797241210938,614.2797241210938,614.2797241210938,0
1994-03-22,622.723388671875,622.723388671875,622.723388671875,622.723388671875,0
1994-03-23,621.667236328125,621.667236328125,621.667236328125,621.667236328125,0
1994-03-24,618.5015258789062,618.5015258789062,618.5015258789062,618.5015258789062,0
1994-03-25,617.973388671875,617.973388671875,617.973388671875,617.973388671875,0
1994-03-28,620.6130981445312,620.6130981445312,620.6130981445312,620.6130981445312,0
1994-03-29,637.5003662109375,637.5003662109375,637.5003662109375,637.5003662109375,0
1994-03-30,637.5003662109375,637.5003662109375,637.5003662109375,637.5003662109375,0
1994-03-31,635.3887939453125,635.3887939453125,635.3887939453125,635.3887939453125,0
1994-04-01,635.3887939453125,635.3887939453125,635.3887939453125,635.3887939453125,0
1994-04-04,635.3887939453125,635.3887939453125,635.3887939453125,635.3887939453125,0
1994-04-05,640.1387939453125,640.1387939453125,640.1387939453125,640.1387939453125,0
1994-04-06,646.4710083007812,646.4710083007812,646.4710083007812,646.4710083007812,0
1994-04-07,646.998046875,646.998046875,646.998046875,646.998046875,0
1994-04-08,643.8324584960938,643.8324584960938,643.8324584960938,643.8324584960938,0
1994-04-11,640.6659545898438,640.6659545898438,640.6659545898438,640.6659545898438,0
1994-04-12,634.3325805664062,634.3325805664062,634.3325805664062,634.3325805664062,0
1994-04-13,637.5003662109375,637.5003662109375,637.5003662109375,637.5003662109375,0
1994-04-14,638.55419921875,638.55419921875,638.55419921875,638.55419921875,0
1994-04-15,640.6659545898438,640.6659545898438,640.6659545898438,640.6659545898438,0
1994-04-18,648.054443359375,648.054443359375,648.054443359375,648.054443359375,0
1994-04-19,653.331298828125,653.331298828125,653.331298828125,653.331298828125,0
1994-04-20,660.7197265625,660.7197265625,660.7197265625,660.7197265625,0
1994-04-21,657.026123046875,657.026123046875,657.026123046875,657.026123046875,0
1994-04-22,658.0812377929688,658.0812377929688,658.0812377929688,658.0812377929688,0
1994-04-25,655.4415283203125,655.4415283203125,655.4415283203125,655.4415283203125,0
1994-04-26,653.331298828125,653.331298828125,653.331298828125,653.331298828125,0
1994-04-27,649.109375,649.109375,649.109375,649.109375,0
1994-04-28,655.4415283203125,655.4415283203125,655.4415283203125,655.4415283203125,0
1994-04-29,660.7197265625,660.7197265625,660.7197265625,660.7197265625,0
1994-05-02,660.7197265625,660.7197265625,660.7197265625,660.7197265625,0
1994-05-03,658.609375,658.609375,658.609375,658.609375,0
1994-05-04,640.6659545898438,640.6659545898438,640.6659545898438,640.6659545898438,0
1994-05-05,642.7761840820312,642.7761840820312,642.7761840820312,642.7761840820312,0
1994-05-06,636.4440307617188,636.4440307617188,636.4440307617188,636.4440307617188,0
1994-05-09,632.2221069335938,632.2221069335938,632.2221069335938,632.2221069335938,0
1994-05-10,632.2221069335938,632.2221069335938,632.2221069335938,632.2221069335938,0
1994-05-11,621.667236328125,621.667236328125,621.667236328125,621.667236328125,0
1994-05-12,614.2797241210938,614.2797241210938,614.2797241210938,614.2797241210938,0
1994-05-13,614.2797241210938,614.2797241210938,614.2797241210938,614.2797241210938,0
1994-05-16,615.3350830078125,615.3350830078125,615.3350830078125,615.3350830078125,0
1994-05-17,612.1683349609375,612.1683349609375,612.1683349609375,612.1683349609375,0
1994-05-18,614.2797241210938,614.2797241210938,614.2797241210938,614.2797241210938,0
1994-05-19,614.2797241210938,614.2797241210938,614.2797241210938,614.2797241210938,0
1994-05-20,614.2797241210938,614.2797241210938,614.2797241210938,614.2797241210938,0
1994-05-23,616.391357421875,616.391357421875,616.391357421875,616.391357421875,0
1994-05-24,615.3350830078125,615.3350830078125,615.3350830078125,615.3350830078125,0
1994-05-25,605.30810546875,605.30810546875,605.30810546875,605.30810546875,0
1994-05-26,599.502685546875,599.502685546875,599.502685546875,599.502685546875,0
1994-05-27,594.2260131835938,594.2260131835938,594.2260131835938,594.2260131835938,0
1994-05-30,594.2260131835938,594.2260131835938,594.2260131835938,594.2260131835938,0
1994-05-31,596.3361206054688,596.3361206054688,596.3361206054688,596.3361206054688,0
1994-06-01,602.6696166992188,602.6696166992188,602.6696166992188,602.6696166992188,0
1994-06-02,605.8349609375,605.8349609375,605.8349609375,605.8349609375,0
1994-06-03,611.1130981445312,611.1130981445312,611.1130981445312,611.1130981445312,0
1994-06-06,615.3350830078125,615.3350830078125,615.3350830078125,615.3350830078125,0
1994-06-07,616.391357421875,616.391357421875,616.391357421875,616.391357421875,0
1994-06-08,618.5015258789062,618.5015258789062,618.5015258789062,618.5015258789062,0
1994-06-09,588.9475708007812,588.9475708007812,588.9475708007812,588.9475708007812,0
1994-06-10,586.8375854492188,586.8375854492188,586.8375854492188,586.8375854492188,0
1994-06-13,582.615478515625,582.615478515625,582.615478515625,582.615478515625,0
1994-06-14,569.9500122070312,569.9500122070312,569.9500122070312,569.9500122070312,0
1994-06-15,568.8949584960938,568.8949584960938,568.8949584960938,568.8949584960938,0
1994-06-16,556.2286376953125,556.2286376953125,556.2286376953125,556.2286376953125,0
1994-06-17,549.8963012695312,549.8963012695312,549.8963012695312,549.8963012695312,0
1994-06-20,547.7847290039062,547.7847290039062,547.7847290039062,547.7847290039062,0
1994-06-21,547.7847290039062,547.7847290039062,547.7847290039062,547.7847290039062,0
1994-06-22,544.09130859375,544.09130859375,544.09130859375,544.09130859375,0
1994-06-23,544.6192626953125,544.6192626953125,544.6192626953125,544.6192626953125,0
1994-06-24,526.67578125,526.67578125,526.67578125,526.67578125,0
1994-06-27,518.232421875,518.232421875,518.232421875,518.232421875,0
1994-06-28,527.732177734375,527.732177734375,527.732177734375,527.732177734375,0
1994-06-29,528.787109375,528.787109375,528.787109375,528.787109375,0
1994-06-30,525.6207275390625,525.6207275390625,525.6207275390625,525.6207275390625,0
1994-07-01,525.6207275390625,525.6207275390625,525.6207275390625,525.6207275390625,0
