Date,Open,High,Low,Close,Volume,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI_14,Momentum_10,prev_close,True_Range,ATR_14,PSAR,target
1994-05-10,743.0563354492188,743.0563354492188,743.0563354492188,743.0563354492188,215333,0.0060299381715474,-0.008032247062646825,0.004008058928893554,0.00402418813375327,0.0,0.0060299381715474,-0.0020023088910994247,0.0020057500377941295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.22539066848068,-0.39922173156382146,738.5892333984375,4.46710205078125,4.514455718084439,757.8181099527538,0.00997039005783229
1994-05-11,750.501953125,750.501953125,750.501953125,750.501953125,91333,0.00997039005783229,0.0060299381715474,-0.008032247062646825,0.004008058928893554,0.0,0.00997039005783229,0.01600032822937969,0.007968081166732865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.482117719670306,0.7999910809700364,743.0563354492188,7.44561767578125,4.723824429348497,757.4335324216676,-0.0019862389578815254
1994-05-12,749.0127563476562,749.0127563476562,749.0127563476562,749.0127563476562,256666,-0.0019862389578815254,0.00997039005783229,0.0060299381715474,-0.008032247062646825,0.0,-0.0019862389578815254,0.007984151099950765,0.014014089271498165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.046293374879355,0.0,750.501953125,1.48919677734375,4.492779597062444,757.0566464412029,0.0
1994-05-13,749.0127563476562,749.0127563476562,749.0127563476562,749.0127563476562,87333,0.0,-0.0019862389578815254,0.00997039005783229,0.0060299381715474,0.0,0.0,-0.0019862389578815254,0.007984151099950765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.046293374879355,0.0995054824674097,749.0127563476562,0.0,4.17186676870084,756.6872981803476,-0.009898792984773586
1994-05-16,741.635009765625,741.635009765625,741.635009765625,741.635009765625,63333,-0.009898792984773586,0.0,-0.0019862389578815254,0.00997039005783229,0.0,-0.009898792984773586,-0.009898792984773586,-0.011885031942655111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.976225568730456,-0.8864707618323756,749.0127563476562,7.37774658203125,4.400858183938727,756.3253368847094,-0.0060419433663927435
1994-05-17,737.1676025390625,737.1676025390625,737.1676025390625,737.1676025390625,601333,-0.0060419433663927435,-0.009898792984773586,0.0,-0.0019862389578815254,0.0,-0.0060419433663927435,-0.01594073635116633,-0.01594073635116633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.22528513528435,-1.7767243017043282,741.635009765625,4.4674072265625,4.405611686983282,755.970614814984,-0.02040886907047934
1994-05-18,722.2753295898438,722.2753295898438,722.2753295898438,722.2753295898438,643333,-0.02040886907047934,-0.0060419433663927435,-0.009898792984773586,0.0,0.0,-0.02040886907047934,-0.026450812436872084,-0.03634960542164567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35712720690884,-2.2087925291747506,737.1676025390625,14.89227294921875,5.154658920000101,755.2184943239471,-0.017681359107812433
1994-05-19,709.6167602539062,709.6167602539062,709.6167602539062,709.6167602539062,244000,-0.017681359107812433,-0.02040886907047934,-0.0060419433663927435,-0.009898792984773586,0.0,-0.017681359107812433,-0.038090228178291774,-0.04413217154468452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.358810368388276,-4.308533749536311,722.2753295898438,12.6585693359375,5.690652521138487,753.2419044399008,-0.0010498904560440891
1994-05-20,708.8721313476562,708.8721313476562,708.8721313476562,708.8721313476562,183333,-0.0010498904560440891,-0.017681359107812433,-0.02040886907047934,-0.0060419433663927435,0.0,-0.0010498904560440891,-0.018731249563856522,-0.03914011863433586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.04304809620639,-4.7913143731807395,709.6167602539062,0.74462890625,5.337365120075023,749.7518929050212,-0.002102920953475973
1994-05-23,707.3829956054688,707.3829956054688,707.3829956054688,707.3829956054688,292000,-0.002102920953475973,-0.0010498904560440891,-0.017681359107812433,-0.02040886907047934,0.0,-0.002102920953475973,-0.003152811409520062,-0.020834170517332495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.38413726181686,-4.225114093442831,708.8721313476562,1.4891357421875,5.062491593083057,745.6639167492847,-0.020202860513951038
